timestamp,time from boot(min),FPS,Heap memory(MB),Max memory(MB),chunks,CGO,Players,Zombie,Entity,Total Entity,Items,CO,RSS(MB)
2020/11/14T13:53:18,205.68,21.47,1186.3,1199.4,442,45,1,7,11,43,2,1,2293.5
2020/11/14T13:53:48,206.18,21.63,1137.0,1199.4,442,39,1,7,10,24,2,1,2293.6
2020/11/14T13:54:18,206.68,20.92,1134.4,1199.4,442,38,1,7,12,22,1,1,2293.7
2020/11/14T13:54:48,207.18,20.73,1137.7,1199.4,442,26,1,5,8,22,1,1,2293.7
2020/11/14T13:55:18,207.68,20.52,1145.0,1199.4,442,27,1,5,10,28,4,1,2293.7
2020/11/14T13:55:48,208.18,20.74,1159.0,1199.4,442,38,1,5,11,31,4,1,2293.6
2020/11/14T13:56:18,208.68,20.74,1141.0,1199.4,442,47,1,5,10,24,0,1,2293.7
2020/11/14T13:56:48,209.18,20.74,1147.9,1199.4,442,47,1,3,8,24,0,1,2293.6
2020/11/14T13:57:18,209.68,20.74,1165.6,1199.4,442,49,1,3,7,25,0,1,2293.7
2020/11/14T13:57:48,210.18,20.18,1173.6,1199.4,442,45,1,3,7,26,0,1,2293.7
2020/11/14T13:58:18,210.68,20.19,1137.3,1199.4,442,43,1,3,7,26,0,1,2293.7
2020/11/14T13:58:48,211.18,20.74,1139.8,1199.4,442,36,1,3,7,27,0,1,2293.7
2020/11/14T13:59:18,211.68,20.00,1144.8,1199.4,442,36,1,3,7,28,0,1,2293.7
2020/11/14T13:59:48,212.18,21.92,1149.8,1199.4,442,44,1,9,15,36,2,3,2298.7
